COD,PRODUCTO,Peso
1156,Banda de resistencia VERDE WONDER (10lb),
1157,Banda de resistencia ROJA WONDER (5lb),
1158,Banda Elástica Tela DORADA WONDER (30-40lb),
1159,Banda Elástica Tela NEGRA WONDER (25-30lb),
1160,Banda Elástica Tela AZUL WONDER (15-20lb),
1161,Banda Elástica Tela VERDE WONDER (10-15lb),
1162,Banda Elástica Tela ROJA WONDER (5-10lb),
1163,Kit de Bandas de Tela x2 WONDER (25lb/30lb),
1164,Kit de Bandas de Tela x5 WONDER (5lb/10lb/15lb/25lb/30lb),
1165,Kit de Bandas Tela x3 WONDER (110lb/90lb/60lb),
1166,Kit de Bandas Tela x3 SPORTFITNESS (350lb/250lb/120lb),
1167,Theraband VERDE WONDER,
1168,Theraband AZUL WONDER,
1169,Theraband NEGRA WONDER,
1170,Theraband GRIS WONDER,
1171,Theraband DORADA WONDER,
1172,Kit de Therabands (Verde/Azul/Negra/Gris/Dorada),
1173,Banda de poder AMARILLA,
1174,Banda de poder ROJA SPORT,
1175,Banda de poder NEGRA SPORT,
1176,Banda de poder MORADA WONDER,
1177,Banda de poder VERDE WONDER,
1178,Banda de poder AZUL WONDER,
1179,Kit de Bandas de Poder (Roja/Negra/Morada/Verde/Azul),
1180,Kit de Bandas de Poder FCK (Roja/Negra/Morada/Verde/Azul),
1181,Kit de Bandas Tubulares X5 - SPORTFITNESS,
1182,Kit de Bandas Tubulares FCK,
1183,Kit de Bandas Tubulares X3 - SPORTFITNESS,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,Balón de pilates 20cm - SPORTFITNESS,
1191,Balón de pilates 55 cm WONDER,
1192,Balón de pilates 55cm - SPORTFITNESS,
1193,Balón de pilates 65 cm WONDER,
1194,Balón de pilates 75 cm WONDER,
1195,,
1196,,
1197,,
1198,Kit Pink Yoga ( Balón Pilates Theraband Mat Yoga ),
1199,Disco deslizantes Sportfitness,
1200,Ladrillo de yoga - Sportfitness,
1201,Ladrillo de yoga corcho SPORTFITNESS,
1202,Foam roller mini - Azul,
1203,Foam roller - Azul,
1204,Foam Roller Grabado Profundo- Sportfitness - Azul,
1205,Trampolin Sportfitness (NEW),
1206,Trapolin PRO-FORM,
1207,Superficie Inestable Bosu,
1208,Balon inestable - Sportfitness,
1209,Esfera Masajeadora SPORTFITNESS,
1210,Mat Yoga SPORTFITNESS,
1211,Mat Yoga Premium SPORTFITNESS,
1212,Mat Yoga Azul Profit,
1213,Mat Yoga Verde Profit,
1214,Mat Yoga Negro Profit,
1215,Mat Yoga Rosado Profit,
1216,Foam roller mini - Negro,
1217,Foam roller - Negro,
1218,Mat Yoga Negro Wonder,
1219,Foam roller Grande 45cm,
1220,Rodillo abdominal WONDER,
1221,Rodillo doble rueda WONDER,
1222,Body Bar 2kg - SPORTFITNESS,
1223,Body Bar 4kg - SPORTFITNESS,
1224,Body Bar 6kg - SPORTFITNESS,
1225,Body Bar 8kg - SPORTFITNESS,
1226,,
1227,,
1228,,
1229,,
1230,Colchoneta ESPUMA,
1231,Colchoneta CASATA ,
1232,Colchoneta ALASKAN TRAFICO PESADO (CASATA),
1233,Colchoneta CASATA 30MM,
1234,Colchoneta YUMBOLON - COLSPORTS,
1235,Cuerdas MIYAGI,
1236,Cuerda Cuero Balineras - Sportfitness,
1237,Cuerda rapida WONDER NEW,
1238,Cuerda Salto negra WONDER,
1239,Cuerda Salto Rápida Velocidad Lazo Para Saltar Jump Rope – Sportfitness,
1240,Pesa tobillera 2.5kg Negra (JM),
1241,Pesas tobilleras 5kg Negra (JM),
